GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,HOME_TEAM_WINS,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,SAVE_PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
KCA201309080,64,9,9,1,1,0,5,2,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090301.0,99.2,1.0080645161290323,2013
KCA201309170,57,7,9,1,0,0,3,1,0,0,0,herrk001,perec002,Kelvin Herrera,False,1.0,070201.0,50.0,-0.5,2013
KCA201309170,80,9,9,0,0,0,3,5,0,0,0,perec002,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201309200,71,9,9,1,1,0,2,1,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090101.0,95.2,1.050420168067227,2013
KCA201309210,68,9,9,0,0,0,1,3,0,0,0,nathj001,nathj001,Joe Nathan,True,1.0,090201.0,97.3,1.027749229188078,2013
LAN201004150,72,8,10,0,1,0,3,4,0,0,0,gutij002,None,Juan Gutierrez,False,2.0,080102.0,29.4,-0.3541076487252125,2010
LAN201004180,62,8,9,0,1,1,0,1,1,0,0,romos001,broxj001,Sergio Romo,False,1.67,081111.67,72.2,-0.8992805755395684,2010
LAN201005070,59,6,9,1,1,1,5,4,0,1,1,sherg001,broxj001,George Sherrill,False,0.33,061120.33,33.3,-0.3748125937031484,2010
LAN201005070,81,9,9,1,1,0,6,5,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201005200,72,9,9,1,1,0,4,1,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090301.0,99.2,1.0080645161290323,2010
LAN201005210,70,9,9,1,1,0,4,1,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090301.0,99.2,1.0080645161290323,2010
LAN201006030,75,9,9,0,0,2,3,4,0,0,0,ventj001,ventj001,Jonny Venters,True,0.33,092100.33,50.0,2.0,2010
LAN201006050,56,7,9,1,0,0,2,1,1,1,0,tronr001,None,Ramon Troncoso,False,0.33,070120.33,50.0,-0.5,2010
LAN201006090,69,9,9,1,1,0,4,3,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201006130,82,9,9,0,0,0,5,6,0,0,0,fuenb001,fuenb001,Brian Fuentes,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201006270,61,8,10,1,0,0,5,2,0,0,0,belir001,None,Ronald Belisario,False,2.33,080302.33,45.5,-0.45871559633027525,2010
LAN201007050,78,9,9,0,0,0,5,6,0,0,0,nunel001,nunel001,Leo Nunez,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201007060,80,9,9,1,1,1,7,3,1,1,0,broxj001,broxj001,Jonathan Broxton,True,0.67,091420.67,50.0,2.0,2010
LAN201007080,62,9,9,1,1,0,3,2,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201007190,78,9,9,0,0,0,2,5,0,0,0,wilsb001,wilsb001,Brian Wilson,True,1.0,090301.0,99.2,1.0080645161290323,2010
LAN201008030,59,9,9,1,1,0,2,1,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090101.0,95.2,1.050420168067227,2010
LAN201008300,56,8,9,1,1,2,3,0,1,1,0,kuo-h001,kuo-h001,Hong-Chih Kuo,True,1.33,082321.33,94.4,1.059322033898305,2010
LAN201009030,64,9,9,1,1,0,4,2,0,0,0,kuo-h001,kuo-h001,Hong-Chih Kuo,True,1.0,090201.0,97.3,1.027749229188078,2010
LAN201009040,65,9,9,1,0,0,4,3,0,0,0,broxj001,wilsb001,Jonathan Broxton,False,1.0,090101.0,95.2,-5.208333333333337,2010
LAN201009050,65,9,9,0,0,0,0,3,0,0,0,wilsb001,wilsb001,Brian Wilson,True,1.0,090301.0,99.2,1.0080645161290323,2010
LAN201009170,84,9,9,0,0,0,4,7,0,0,0,streh001,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2010
LAN201009190,71,8,11,0,1,0,5,6,0,0,0,betar001,None,Rafael Betancourt,False,4.0,080104.0,29.4,-0.3541076487252125,2010
LAN201009230,62,9,9,1,1,0,3,1,0,0,0,kuo-h001,kuo-h001,Hong-Chih Kuo,True,1.0,090201.0,97.3,1.027749229188078,2010
LAN201103310,69,9,9,1,1,0,2,0,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090201.0,97.3,1.027749229188078,2011
LAN201104010,72,9,9,1,1,0,4,3,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090101.0,95.2,1.050420168067227,2011
LAN201104030,72,9,9,1,1,0,7,4,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090301.0,99.2,1.0080645161290323,2011
LAN201104170,66,9,9,0,1,0,0,1,0,1,0,franr001,None,Ryan Franklin,False,1.0,090111.0,66.7,-0.7507507507507508,2011
LAN201105020,66,9,9,1,1,0,5,2,0,0,0,broxj001,broxj001,Jonathan Broxton,True,1.0,090301.0,99.2,1.0080645161290323,2011
LAN201105130,74,9,9,1,1,2,4,3,1,1,0,jansk001,jansk001,Kenley Jansen,True,0.33,092120.33,50.0,2.0,2011
LAN201105140,59,9,9,0,0,0,0,1,0,0,0,putzj001,putzj001,J.J. Putz,True,1.0,090101.0,95.2,1.050420168067227,2011
LAN201105160,75,9,9,0,0,0,1,2,0,0,0,axfoj001,axfoj001,John Axford,True,1.0,090101.0,95.2,1.050420168067227,2011
LAN201105190,77,9,9,0,0,2,1,3,0,1,0,wilsb001,wilsb001,Brian Wilson,True,0.33,092210.33,50.0,2.0,2011
LAN201106260,66,9,9,0,1,0,1,2,0,0,0,waldj001,None,Jordan Walden,False,1.0,090101.0,95.2,-5.208333333333337,2011
LAN201107100,70,9,9,1,1,0,4,1,0,0,0,guerj002,guerj002,Javy Guerra,True,1.0,090301.0,99.2,1.0080645161290323,2011
LAN201107230,64,6,9,0,1,2,5,6,1,0,0,rodrh002,None,Henry Rodriguez,False,1.0,062111.0,33.3,-0.3748125937031484,2011
LAN201107240,67,9,9,1,1,0,3,1,0,0,0,guerj002,guerj002,Javy Guerra,True,1.0,090201.0,97.3,1.027749229188078,2011
LAN201107250,89,9,9,1,1,1,8,5,1,1,1,guerj002,guerj002,Javy Guerra,True,0.67,091330.67,50.0,2.0,2011
LAN201107260,67,9,9,1,1,0,3,2,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090101.0,95.2,1.050420168067227,2011
LAN201107300,54,6,9,1,0,2,4,3,1,1,1,guerm001,putzj001,Matt Guerrier,False,2.33,062132.33,33.3,-0.3748125937031484,2011
LAN201107300,83,9,9,0,0,0,4,6,0,0,0,putzj001,putzj001,J.J. Putz,True,1.0,090201.0,97.3,1.027749229188078,2011
